cohort_month,dimension,first_value,m,metric,cohort_size,retention
2025-01-01,category,otc hl,0,any,1,100.00%
2025-01-01,category,otc hl,0,same,1,100.00%
2025-01-01,category,otc hl,1,any,1,0.00%
2025-01-01,category,otc hl,1,same,1,0.00%
2025-01-01,category,otc hl,2,any,1,0.00%
2025-01-01,category,otc hl,2,same,1,0.00%
2025-01-01,category,otc hl,3,any,1,0.00%
2025-01-01,category,otc hl,3,same,1,0.00%
2025-01-01,category,otc hl,4,any,1,0.00%
2025-01-01,category,otc hl,4,same,1,0.00%
2025-01-01,category,otc hl,5,any,1,0.00%
2025-01-01,category,otc hl,5,same,1,0.00%
2025-01-01,category,otc hl,6,any,1,0.00%
2025-01-01,category,otc hl,6,same,1,0.00%
2025-01-01,category,otc hl,7,any,1,0.00%
2025-01-01,category,otc hl,7,same,1,0.00%
2025-01-01,category,otc hl,8,any,1,0.00%
2025-01-01,category,otc hl,8,same,1,0.00%
2025-01-01,category,otc hl,9,any,1,0.00%
2025-01-01,category,otc hl,9,same,1,0.00%
2025-01-01,category,otc hl,10,any,1,0.00%
2025-01-01,category,otc hl,10,same,1,0.00%
2025-01-01,category,otc hl,11,any,1,0.00%
2025-01-01,category,otc hl,11,same,1,0.00%
2025-01-01,category,otc hl,12,any,1,0.00%
2025-01-01,category,otc hl,12,same,1,0.00%
2025-03-01,category,otc hl,0,any,8,100.00%
2025-03-01,category,otc hl,0,same,8,100.00%
2025-03-01,category,otc hl,1,any,8,0.00%
2025-03-01,category,otc hl,1,same,8,0.00%
2025-03-01,category,otc hl,2,any,8,0.00%
2025-03-01,category,otc hl,2,same,8,0.00%
2025-03-01,category,otc hl,3,any,8,0.00%
2025-03-01,category,otc hl,3,same,8,0.00%
2025-03-01,category,otc hl,4,any,8,0.00%
2025-03-01,category,otc hl,4,same,8,0.00%
2025-03-01,category,otc hl,5,any,8,0.00%
2025-03-01,category,otc hl,5,same,8,0.00%
2025-03-01,category,otc hl,6,any,8,0.00%
2025-03-01,category,otc hl,6,same,8,0.00%
2025-03-01,category,otc hl,7,any,8,0.00%
2025-03-01,category,otc hl,7,same,8,0.00%
2025-03-01,category,otc hl,8,any,8,0.00%
2025-03-01,category,otc hl,8,same,8,0.00%
